userId,movieId,rating
1,296,5.0
1,306,3.5
1,307,5.0
1,665,5.0
1,899,3.5
1,1088,4.0
1,1175,3.5
1,1217,3.5
1,1237,5.0
1,1250,4.0
1,1260,3.5
1,1653,4.0
1,2011,2.5
1,2012,2.5
1,2068,2.5
1,2161,3.5
1,2351,4.5
1,2573,4.0
1,2632,5.0
1,2692,5.0
1,2843,4.5
1,3448,4.0
1,3569,5.0
1,3949,5.0
1,4144,5.0
1,4308,3.0
1,4325,5.0
1,4422,3.0
1,4703,4.0
1,4973,4.5
1,5147,4.0
1,5269,0.5
1,5684,2.0
1,5767,5.0
1,5878,4.0
1,5912,3.0
1,5952,4.0
1,6016,5.0
1,6370,4.5
1,6377,4.0
1,6539,3.5
1,6711,5.0
1,6954,3.5
1,7209,4.0
1,7234,4.5
1,7318,2.0
1,7323,3.5
1,7327,3.5
1,7361,5.0
1,7365,4.0
1,7820,2.5
1,7937,3.0
1,7938,2.5
1,7939,2.5
1,7940,4.5
1,8014,3.5
1,8154,5.0
1,8327,5.0
1,8360,4.0
1,8405,3.5
1,8685,1.0
1,8729,3.5
1,8786,4.0
1,8873,3.0
1,8973,4.0
1,27193,3.0
1,27266,4.5
1,27721,3.0
1,31956,3.5
1,32591,5.0
2,1,3.5
2,62,0.5
2,110,5.0
2,150,4.0
2,151,4.5
2,236,4.0
2,260,5.0
2,261,0.5
2,266,1.0
2,318,5.0
2,333,5.0
2,349,4.5
2,356,4.5
2,364,4.5
2,380,1.0
2,457,5.0
2,480,2.0
2,497,4.0
2,524,3.5
2,527,5.0
2,534,4.5
2,553,2.0
2,588,2.0
2,589,4.0
2,653,3.0
2,733,4.5
2,858,3.5
2,914,4.0
2,953,4.5
2,1035,1.0
2,1080,1.0
2,1136,5.0
2,1196,5.0
2,1197,5.0
2,1198,4.0
2,1201,2.5
2,1210,5.0
2,1246,4.0
2,1257,5.0
2,1270,4.0
2,1271,1.5
2,1275,4.5
2,1283,4.0
2,1287,5.0
2,1291,5.0
2,1293,5.0
2,1299,1.0
2,1302,3.0
2,1356,5.0
2,1374,4.5
2,1376,5.0
2,1393,4.0
2,1431,3.0
2,1465,3.0
2,1485,3.0
2,1488,5.0
2,1527,3.0
2,1580,4.5
2,1584,5.0
2,1587,1.0
2,1610,5.0
2,1653,4.5
2,1672,4.5
2,1674,4.0
2,1682,4.5
2,1693,4.0
2,1722,0.5
2,1873,4.0
2,1907,4.0
2,1923,0.5
2,1957,3.5
2,1968,1.0
2,2028,4.0
2,2081,1.5
2,2083,4.5
2,2115,3.5
2,2138,4.5
2,2139,4.0
2,2150,5.0
2,2194,5.0
2,2268,4.5
2,2273,2.0
2,2294,4.5
2,2324,1.5
2,2355,4.5
2,2359,5.0
2,2406,2.5
2,2470,5.0
2,2496,4.0
2,2501,4.5
2,2571,5.0
2,2617,4.0
2,2640,5.0
2,2643,0.5
2,2694,4.0
2,2720,0.5
2,2745,5.0
2,2761,0.5
2,2762,4.0
2,2797,1.0
2,2918,4.5
2,2987,0.5
2,3098,3.0
2,3105,4.0
2,3107,3.0
2,3114,4.5
2,3148,2.0
2,3175,3.5
2,3360,5.0
2,3396,4.5
2,3479,2.0
2,3510,4.0
2,3578,5.0
2,3793,5.0
2,3889,2.5
2,3916,3.0
2,3948,3.0
2,3994,3.0
2,4016,5.0
2,4019,3.5
2,4022,5.0
2,4023,3.0
2,4103,4.5
2,4299,4.5
2,4306,4.5
2,4535,3.0
